Producto Base ID,Recomendado ID,Recomendado Producto,Categoría,Sentimiento promedio
1,61,"HP Pavilion x360 14 inch Laptop, FHD Touchscreen, 13th Generation Intel Core i3-1315U, 8 GB RAM, 256 GB SSD, Intel UHD Graphics, Windows 11 Home, 14-ek1099nr (2024)",laptops,0.4091269841269842
1,55,"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-edge HD Display, Windows 11 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0040nr, Snowflake White)",laptops,-0.065625
1,32,"HP Chromebook 14 inch Laptop, FHD Display, Intel N100, 4 GB RAM, 64 GB eMMC, Intel UHD Graphics, Chrome OS 14a-nf0009nr (2024)",laptops,0.4439814814814815
1,6,"HP Stream 14"" HD BrightView Laptop, Intel Celeron N4120 Processor, 16GB RAM, 64GB SSD, Intel UHD Graphics, 720p Webcam, WiFi, HDMI, Win 11 S, Gold (Renewed)",laptops,0.314484126984127
1,3,"ASUS 2024 Vivobook Go 11.6” HD Laptop, Intel Dual Core N4500, Intel Graphics, 4GB, 128GB, Windows 11 Home in S Mode, Star Black, L210KA-ES04",laptops,0.1078333333333333
2,29,"NIMO 15.6 FHD Laptop, Intel 6-Cores i3-1215U, 32GB RAM, 1TB SSD, (Beat i5-1135G7, Up to 4.4GHz), 65W Type-C, Fingerprint, Backlit Keyboard, IPS Business Laptop, Wi-Fi 6, Numpad, Win 11",laptops,0.2141470205395644
2,46,"15.6'' FHD IPS Business Gaming Laptop, 6-Cores AMD Ryzen 5 6600H, 32GB DDR5 RAM 1TB SSD(Beat i5-12450H, Up to 4.5GHz), 100W Type-C, 6-Cores 660M GPU, Fingerprint, Backlit Keyboard, Numpad",laptops,0.2452380952380952
2,16,"15.6"" IPS FHD Student Laptop, 16GB RAM 1TB SSD, Intel Pentium Quad-Core N100 (Beat to i3-1115G4, Up to 3.4GHz), Backlit Keyboard, Fingerprint, 65W Type C, WiFi 6, BT5.2, USB3.0, Win 11",laptops,0.3338454017970824
2,53,"HP 17.3"" FHD Business Laptop Computer, 32GB RAM, 1TB PCIe SSD, 12th Intel 6-Core i3-1215U(Up to 4.4GHz, Beat i5-1125G4), Type-C, HDMI, Win 11 Home, WiFi, Webcam, Numpad, W/GM Accessories",laptops,0.3268709866522366
2,69,"HP 17.3"" FHD Business Laptop Computer, 32GB RAM, 1TB PCIe SSD, 12th Intel 6-Core i3-1215U(Up to 4.4GHz, Beat i5-1125G4), Type-C, HDMI, Win 11 Home, WiFi, Webcam, Numpad, W/GM Accessories",laptops,0.3268709866522366
3,4,"ASUS 15.6” Vivobook Go Laptop, Intel Dual Core N4500, 4GB RAM, 128GB SSD, Windows 11 in S Mode, Star Black, L510KA-ES04",laptops,0.5114814814814814
3,70,"ASUS 2024 Vivobook 17.3” Laptop, FHD Display, Intel Core 5 120U, 16GB RAM, 1TB SSD, Fingerprint Sensor, HD Front Camera, Windows 11 Home; Cool Silver, F1704VAP-AS56",laptops,0.2937566137566137
3,21,"Acer Aspire Go 15 Slim Laptop | 15.6"" Full HD IPS 1080P Display | Intel Core i3-N305| Intel UHD Graphics | 8GB LPDDR5 | 128GB HD | Wi-Fi 6 | AI PC | Windows 11 Home in S Mode | AG15-31P-3947",laptops,0.3068210043806169
3,1,"HP 14 inch Laptop, HD Display, 12th Generation Intel Core i3-1215U, 8 GB RAM, 256 GB SSD, Intel UHD Graphics, Windows 11 Home in S Mode, 14-dq5009nr (2024)",laptops,0.0870509607351712
3,35,"acer Gateway Chromebook 311 CBO311-1H-C1MX Laptop | Intel Celeron N4500 | 11.6"" HD (1366 x 768) Display | 4GB LPDDR4X | 64GB eMMC | Wi-Fi 5 802.11ac | Chrome OS | Star Black",laptops,0.658888888888889
4,3,"ASUS 2024 Vivobook Go 11.6” HD Laptop, Intel Dual Core N4500, Intel Graphics, 4GB, 128GB, Windows 11 Home in S Mode, Star Black, L210KA-ES04",laptops,0.1078333333333333
4,23,"ASUS Vivobook Go 15.6” FHD Slim Laptop, AMD Ryzen 3 7320U Quad Core Processor, 8GB DDR5 RAM, 128GB SSD, Windows 11 Home, Fast Charging, Webcam Sheild, Mixed Black, E1504FA-AS33",laptops,0.2561843711843712
